district_key,n_births_5yr,n_deaths_u5_5yr,n_clusters,u5mr_direct,u5mr_lower95,u5mr_upper95,low_direct_coverage,estimate_type
ABBOTTABAD DISTRICT,67,3,5,58.29742383648651,0.0,104.77813431609594,True,dhs_direct
ATTOCK DISTRICT,61,2,3,24.127641023660274,0.0,40.52909009208905,True,dhs_direct
AWARAN DISTRICT,20,3,2,250.01387044116385,,,True,dhs_direct
BADIN DISTRICT,85,9,3,136.49227918317843,48.78311115519729,173.70191014258808,True,dhs_direct
BAHAWALNAGAR DISTRICT,69,7,3,75.13103808287536,37.03703703703698,266.66666666666663,True,dhs_direct
BAHAWALPUR DISTRICT,122,13,6,126.94901440842843,90.42355646816294,159.53319686433886,False,dhs_direct
BAJAUR AGENCY DISTRICT,104,4,3,32.568272941440156,0.0,90.54099224301915,False,dhs_direct
BANNU DISTRICT,54,3,2,65.8466506114843,42.55319148936165,66.66666666666666,True,dhs_direct
BATAGRAM DISTRICT,28,2,1,73.52941176470584,,,True,dhs_direct
BHAKKAR DISTRICT,79,9,3,159.56946295157593,0.0,231.62393162393158,True,dhs_direct
BUNER DISTRICT,32,2,1,62.5,,,True,dhs_direct
CHAKWAL DISTRICT,45,4,4,115.03968493903794,61.98862224860946,159.4840208552189,True,dhs_direct
CHARSADDA DISTRICT,79,4,4,40.89386668285178,1.6763193480389127,96.4344525785657,True,dhs_direct
CHINIOT DISTRICT,62,7,3,111.92109844740305,82.88770053475925,148.43105743975494,True,dhs_direct
CHITRAL DISTRICT,34,1,2,45.202555329072915,0.0,47.61904761904767,True,dhs_direct
DADU DISTRICT,59,1,3,37.8424191280492,0.0,66.66666666666666,True,dhs_direct
DERA BUGTI DISTRICT,62,0,2,0.0,0.0,0.0,True,dhs_direct
DERA GHAZI KHAN DISTRICT,60,4,2,75.65150915899454,44.4444444444444,81.47277712495105,True,dhs_direct
DERA ISMAIL KHAN DISTRICT,150,12,5,98.45635921094365,51.09312700993962,105.90427347541697,False,dhs_direct
FAISALABAD DISTRICT,162,12,8,98.69064940227301,50.319467683103845,146.52350331482808,False,dhs_direct
FR BANNU DISTRICT,119,3,2,24.19153477106906,0.0,62.09696680200627,False,dhs_direct
FR TANK DISTRICT,35,0,1,0.0,,,True,dhs_direct
GHOTKI DISTRICT,91,12,3,130.78801902471028,99.50222512053509,179.78308286474697,True,dhs_direct
GUJRANWALA DISTRICT,110,6,5,60.117113169479985,31.191407788851212,97.83401705350593,False,dhs_direct
GUJRAT DISTRICT,143,4,5,29.16715553843685,8.473566217216622,39.11125212295147,False,dhs_direct
GWADAR DISTRICT,74,0,3,0.0,0.0,0.0,True,dhs_direct
HAFIZABAD DISTRICT,58,5,3,88.71522179913771,57.14285714285716,117.83652138586864,True,dhs_direct
HANGU DISTRICT,29,1,1,45.45454545454541,,,True,dhs_direct
HARIPUR DISTRICT,73,6,3,122.70881181379445,0.0,204.5454545454546,True,dhs_direct
HYDERABAD DISTRICT,61,4,3,36.23288733368702,0.0,130.0,True,dhs_direct
ISLAMABAD DISTRICT,796,36,52,46.38755972815844,25.48569567761788,68.94602182753755,False,dhs_direct
JACOBABAD DISTRICT,59,6,2,103.17308375551649,78.94736842105266,142.8571428571428,True,dhs_direct
JAFFARABAD DISTRICT,36,0,2,0.0,0.0,0.0,True,dhs_direct
JAMSHORO DISTRICT,36,1,2,28.537719636029692,0.0,133.33333333333331,True,dhs_direct
JHAL MAGSI DISTRICT,26,3,1,115.38461538461542,,,True,dhs_direct
JHANG DISTRICT,79,3,3,50.082112533600394,0.0,96.42857142857142,True,dhs_direct
JHELUM DISTRICT,24,0,2,0.0,,,True,dhs_direct
KACHHI DISTRICT,27,0,1,0.0,,,True,dhs_direct
KALAT DISTRICT,103,5,3,65.40748781667783,0.0,108.58725487677168,False,dhs_direct
KAMBAR SHAHDAD KOT DISTRICT,96,7,3,78.20521093372878,50.65350852147799,112.64828738512955,True,dhs_direct
KARACHI CENTRAL DISTRICT,127,2,10,13.89864260335183,0.0,27.65802164770819,False,dhs_direct
KARACHI EAST DISTRICT,57,1,4,5.8375542854871565,0.0,38.55455585967693,True,dhs_direct
KARACHI SOUTH DISTRICT,103,7,6,80.73219515472552,43.07901844803394,97.88634954832807,False,dhs_direct
KARACHI WEST DISTRICT,200,8,12,45.01796644300104,6.209411434660142,75.14600814397978,False,dhs_direct
KARAK DISTRICT,34,4,1,121.24849939975991,,,True,dhs_direct
KASHMORE DISTRICT,92,6,3,81.02696193206616,0.0,107.44839824406426,True,dhs_direct
KASUR DISTRICT,95,7,4,79.58906185083481,56.94308007156535,93.69635485183525,True,dhs_direct
KECH DISTRICT,60,2,4,27.256605966362592,0.0,80.53630279678303,True,dhs_direct
KHAIRPUR DISTRICT,149,13,5,106.31891501112167,52.01304683099421,149.64793718104175,False,dhs_direct
KHANEWAL DISTRICT,80,7,3,102.95584594258844,0.0,190.47619047619057,True,dhs_direct
KHARAN DISTRICT,31,2,2,62.39334510815786,55.55555555555558,76.92307692307688,True,dhs_direct
KHUSHAB DISTRICT,36,0,2,0.0,0.0,0.0,True,dhs_direct
KHUZDAR DISTRICT,180,14,6,80.289556375437,38.04619336829158,114.86246319474962,False,dhs_direct
KHYBER AGENCY DISTRICT,191,3,7,18.64571846155927,0.0,28.464897452125086,False,dhs_direct
KILLA ABDULLAH DISTRICT,38,3,2,86.64606605284276,86.64606605284276,87.30158730158722,True,dhs_direct
KILLA SAIFULLAH DISTRICT,71,1,3,3.826439011997973,0.0,52.63157894736836,True,dhs_direct
KOHAT DISTRICT,97,5,3,32.658722505703565,24.390243902439046,73.35802973151485,True,dhs_direct
KOHLU DISTRICT,47,1,1,21.276595744680883,,,True,dhs_direct
KORANGI DISTRICT,92,2,5,12.870103827521294,0.0,46.40242858328281,True,dhs_direct
KURRAM AGENCY DISTRICT,135,3,6,22.972882524168405,0.8832128368717607,47.145295944673684,False,dhs_direct
LAHORE DISTRICT,204,14,13,100.66242215114151,36.49050046437196,165.07098878899427,False,dhs_direct
LAKKI MARWAT DISTRICT,54,1,2,29.656009787543347,0.0,30.76923076923077,True,dhs_direct
LARKANA DISTRICT,88,4,4,47.77424360616389,9.44873975877336,76.82802200968707,True,dhs_direct
LASBELA DISTRICT,116,8,4,91.10332449862601,70.11902650710111,120.12297296839047,False,dhs_direct
LAYYAH DISTRICT,75,7,3,98.43513547868842,43.61191828810718,133.33333333333331,True,dhs_direct
LODHRAN DISTRICT,36,1,1,27.77777777777779,,,True,dhs_direct
LORALAI DISTRICT,68,20,2,314.17083610779696,306.3565859366101,314.7121004850143,True,dhs_direct
LOWER DIR DISTRICT,66,6,3,94.49316774319915,87.39430108270064,108.3591331269349,True,dhs_direct
MALAKAND PROTECTED AREA DISTRICT,59,1,2,1.2004921634326537,0.0,30.303030303030276,True,dhs_direct
